id,reply_id,reply_content,reply_date
2863901,프갤러1(211.235),만들면 다가 아니라 유지보수도 생각해야하는데 사람 구하기 힘들다는건 유지보수가 힘들다는것,06.12 14:02:54
2863901,ㅆㅇㅆ(124.216),fd,06.12 14:19:40
2863901,ㅆㅇㅆ(124.216),흠,06.12 14:19:44
2863899,배구공(119.202),자,06.12 12:47:50
2863899,배구공(119.202),자라,06.12 12:57:28
2863899,배구공(119.202),거북이,06.12 12:57:35
2863899,배구공(119.202),남생이,06.12 12:57:47
2863898,배구공(119.202),조금더 볼륨을 높혀줘,06.12 12:49:04
2863897,루도그담당(223.39),ㅜㅜ,06.12 12:38:36
2863897,ㅆㅇㅆ(124.216),ㅠㅠ,06.12 12:54:34
2863897,ㅇㅇ(211.36),신입취업 올스톱임 우리회사도 매년 10-20명씩 뽑았는데 공고자체를 안올림,06.12 12:55:56
2863897,프갤러1(211.235),못해도 1년채우라고 안하드나,06.12 14:11:58
2863897,ㅇㅇ,3개월도 못버티고 튄놈을 누가뽑음,06.12 22:52:25
2863896,ㅇㅇ,얼마전에 rest api 나왔더라 activex로 하던 예전 자료 말고 그걸로 하면 수월할듯,06.12 12:26:36
2863896,ㅆㅇㅆ찡,굳,06.12 12:34:01
2863896,루도그담당(223.39),이거 불법아니냐고오,06.12 12:38:23
2863896,ㅆㅇㅆ(124.216),아님 남의 매매 알고리즘 그대로 만들어주는거라,06.12 12:40:20
2863895,무딱,이란 때렸다간 러중 지원 들어 올 거고 그럼 중동 미좆군 캠프 전체 운지됨,06.12 12:53:47
2863895,ㅆㅇㅆ(124.216),마치 ㅆㅇㅆ가 프갤에서 철수하는 것과 같군요,06.12 12:58:58
2863894,루도그담당(223.39),벽은 월입니다,06.12 12:38:45
2863894,공기역학,멍뭉이신가요,06.12 12:39:32
2863894,루도그담당(223.39),그건 왈이라구요,06.12 12:40:23
2863894,공기역학,@루도그담당(223.39) 님 지금 멍뭉이차별 하시는건가요?,06.12 12:43:03
2863890,루도그담당(211.184),요즘 쩐좀 만지더만,06.12 11:44:50
2863890,헬마스터,막사 가나요,06.12 11:58:24
2863890,프갤러1(60.196),국비 학원 강사로 안정적인 수입 ㅇ ㅅㅇ,06.12 12:14:32
2863888,케갤러(211.234),취미로 할거면 크로스 플랫폼으로도 충분함 플러터 ㄱㄱ,06.12 11:23:39
2863888,프갤러1(211.235),플러터를 왜함 버려할거면 리액트 네이티브(JS/TS)하고 모바일만 팔거면 코틀린 스위프트 ㄱ,06.12 11:31:32
2863888,헬마스터,플러터가 가장 낳은 선택,06.12 11:32:57
2863888,익명의따당이,플러터 좋긴함,06.12 11:41:51
2863888,익명의따당이,취미면 무조건 크로스 플랫폼 ㅇㅇ,06.12 11:42:28
2863885,케갤러(211.234),칼을 들고 있다니 무서운걸,06.12 11:22:39
2863879,ㅇㅇ(211.235),또 측근 한명 자살함?,06.12 10:34:23
2863879,헬마스터,ㄴㄴ 쓰러짐,06.12 10:36:54
